Country,Call Type,"Flagfall
(Exc. GST)","Rate
(Exc. GST)"
Indonesia,Fixed,,$0.22
,Mobile,,$0.17
INMARSAT-AOR,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
International 800,Fixed,,$0.00
,Mobile,,$0.00
Iran,Fixed,,$0.59
,Mobile,,$0.59
Iraq,Fixed,,$0.47
,Mobile,,$0.70
Ireland (Republic),Fixed,,$0.03
,Mobile,,$0.12
Israel,Fixed,,$0.05
,Mobile,,$0.09
Italy,Fixed,,$0.05
,Mobile,,$0.36
Ivory Coast,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Jamaica,Fixed,,$0.70
,Mobile,,$0.93
Japan,Fixed,,$0.05
,Mobile,,$0.17
Jordan,Fixed,,$0.47
,Mobile,,$0.59
Kazakhstan,Fixed,,$0.17
,Mobile,,$0.70
Kenya,Fixed,,$0.70
,Mobile,,$0.93
Kiribati,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Korea (Nth),Fixed,,$1.29
,Mobile,,$1.37
Korea (Sth),Fixed,,$0.05
,Mobile,,$0.05
Kuwait,Fixed,,$0.12
,Mobile,,$0.17
Kyrgyzstan,Fixed,,$1.24
,Mobile,,$0.59
Laos,Fixed,,$0.23
,Mobile,,$0.23
Latvia,Fixed,,$1.29
,Mobile,,$0.93
Lebanon,Fixed,,$0.36
,Mobile,,$0.59
Lesotho,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Liberia,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Libya,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Liechtenstein,Fixed,,$0.23
,Mobile,,$1.93
Lithuania,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Luxembourg,Fixed,,$0.70
,Mobile,,$0.70
Macau,Fixed,,$0.62
,Mobile,,$0.36
Madagascar,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Malawi,Fixed,,$1.62
,Mobile,,$1.29
Malaysia,Fixed,,$0.08
,Mobile,,$0.09
Maldives Republic,Fixed,,$2.06
,* Mobile (Route Disabled),,
Mali,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Malta,Fixed,,$0.39
,Mobile,,$0.78
Mariana Island,Fixed,,$0.09
,Mobile,,$0.09
Marshall Islands,Fixed,,$0.70
,Mobile,,$0.85
Martinique,Fixed,,$0.05
,Mobile,,$0.78
Mauritania,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Mauritius,Fixed,,$0.59
,Mobile,,$0.59
Mexico,Fixed,,$0.16
,Mobile,,$0.16
Micronesia,Fixed,,$1.55
Moldova,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Monaco,Fixed,,$0.23
,Mobile,,$1.29
Mongolia,Fixed,,$0.08
,Mobile,,$0.08
Montenegro,Fixed,,$0.59
,Mobile,,$0.93
Montserrat,Fixed,,$0.70
,Mobile,,$0.70
Morocco,* Fixed (Route Disabled),,
,* Mobile (Route Disabled),,
Mozambique,Fixed,,$1.24
,Mobile,,$0.93
Myanmar,Fixed,,$0.47
,Mobile,,$0.47
Namibia,Fixed,,$0.62
,Mobile,,$1.24
Nauru,Fixed,,$2.84
,Mobile,,$2.56
Nepal,Fixed,,$0.47
